,X,п..id,time,created_at,from_user_name,text,filter_level,possibly_sensitive,withheld_copyright,withheld_scope,truncated,retweet_count,favorite_count,lang,to_user_name,in_reply_to_status_id,quoted_status_id,source,location,lat,lng,from_user_id,from_user_realname,from_user_verified,from_user_description,from_user_url,from_user_profile_image_url,from_user_utcoffset,from_user_timezone,from_user_lang,from_user_tweetcount,from_user_followercount,from_user_friendcount,from_user_favourites_count,from_user_listed,from_user_withheld_scope,from_user_created_at
44780,44780,1268877131012079616,1591358857,2020-06-05 12:07:37,MiradaPF,Coronavirus: aislaron parcialmente el barrio JosГ© Luis Cabezas   https://t.co/cPHEq3HGEL,low,0,NA,NA,NA,0,0,es,MiradaPF,1268877129426579456,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,NA,NA,1138804120826126336,Mirada Profesional,0,Actualidad farmacГ©utica de la Argentina y el mundo.,,http://pbs.twimg.com/profile_images/1138818544999784448/Bhgln4WR_normal.png,NA,NA,NA,4967,115,246,220,1,NA,2019-06-12 13:43:55
22205,22205,1246771619617357824,1586088492,2020-04-05 12:08:12,UmeshChouhan997,RT @IYC: Indian Youth Congress stands with the people of Kerala in the fight against the Coronavirus. IYC workers are providвЂ¦ https://t.co/NAJl5zaBK7,low,NA,NA,NA,NA,0,0,en,,NA,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Korba, India",NA,NA,932271250889568256,Umesh Chouhan,0,! A CONGRESSMAN ! Social Activist | Incharge @IYCChhattisgarh Assembly Coordinat Social media ! politics activist @incindia proud Indian  #CongressForBharatрџ‡®рџ‡і,https://www.facebook.com/umesh.chouhan.5015983,http://pbs.twimg.com/profile_images/1233434817502629890/MflZQbaF_normal.jpg,NA,NA,NA,24298,948,1086,29631,0,NA,2017-11-19 15:36:01
13107,13107,1235538620649533440,1583410337,2020-03-05 12:12:17,semodough,$BCRX Coronavirus Antiviral Update вЂ“ Galidesivir (BCX4430) https://t.co/ZEQ6qiIoV7,low,0,NA,NA,NA,0,0,en,,NA,1235537748934758400,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,NA,NA,3426014292,dough,0,BIOTECH man trying to help myself &others LONGTERM FOCUS-holding many positions -also trade around my holdings  my opinion only do your own research with meрџ‡єрџ‡ё,,http://pbs.twimg.com/profile_images/947941220185268224/z9r3GuWi_normal.jpg,NA,NA,NA,44964,15376,490,27592,403,NA,2015-09-02 13:10:37
52174,52174,1279750020703666176,1593951156,2020-07-05 12:12:36,corruptbritain,"RT @garethicke: Why does Coronavirus spread in food production factories, that are then shut down, breaking the supply and leadingвЂ¦ https://t.co/dvxo6vUPtK",low,NA,NA,NA,NA,0,0,en,,NA,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,NA,NA,1485882079,Bradbury Pound,0,,,http://pbs.twimg.com/profile_images/3760173408/fa33d2bd0148e065af5c82801e95cc16_normal.jpeg,NA,NA,NA,43741,1762,1791,3147,50,NA,2013-06-05 19:47:29
35964,35964,1257643464784740352,1588680542,2020-05-05 12:09:02,marcelasalome,RT @maibortpetit: Israel aprobГі un medicamento genГ©rico contra el VIH para tratar a infectados con coronavirus https://t.co/xmJPNh4lQ5,low,0,NA,NA,NA,0,0,es,,NA,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ValparaГ­so,NA,NA,103760887,marcela,0,"ВїLa autorizada o la no autorizada? PorteГ±a de nacimiento y feliz de vivir donde naci, pero ansiando mejores dias para mi puerto.",,http://pbs.twimg.com/profile_images/1182306680475934720/taANMQME_normal.jpg,NA,NA,NA,97558,1985,4093,124384,12,NA,2010-01-11 04:52:59
55727,55727,1290983632258191360,1596629457,2020-08-05 12:10:57,WinnaWinna2016,RT @robert_spalding: We have 41% less black-owned businesses due to coronavirus partly because they couldnвЂ™t access PPP loans.  MeanwhilвЂ¦ https://t.co/a4AyAhGDY1,low,NA,NA,NA,NA,0,0,en,,NA,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,NA,NA,4875896757,Save America,0,"#1A #2A Israel  #Federalist       NO PORN #BigGovSucks #NRA #cannabiscommunity  warning, sarcasm spoken here  рџ‡єрџ‡ё parler account @ let freedom ring",,http://pbs.twimg.com/profile_images/1223332168316919810/1njN664Y_normal.jpg,NA,NA,NA,225437,12812,12699,298110,165,NA,2016-02-04 09:34:27
5634,5634,1235537575726780416,1583410087,2020-03-05 12:08:07,JoseLuisYepez,"RT @elmundoes: Un hombre de 36 aГ±os, curado del coronavirus, ha muerto en Wuhan cinco dГ­as despuГ©s de salir del hospital. https://t.co/inwDIYlYxa",low,NA,NA,NA,NA,0,0,es,,NA,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,NA,NA,68695483,JosГ© Luis YГ©pez,0,Periodista/Doctor en Gerencia Avanzada/ MSc. ComunicaciГіn Corporativa/LГ­der Coach Ejecutivo/Locutor. Cuenta personal. Venezuela.,,http://pbs.twimg.com/profile_images/1190705439337582593/hMROysFJ_normal.jpg,NA,NA,NA,73107,125877,1875,3921,386,NA,2009-08-25 13:43:23
4305,4305,1235537392376795136,1583410044,2020-03-05 12:07:24,Redted797,Assumptions (kinda like hunches) are the mother of all fuck-ups! #coronavirus #Trump #ShitTrumpSays  https://t.co/jFaY204a7I,low,0,NA,NA,NA,0,0,en,,NA,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",cyberspace,NA,NA,945961091716091904,FrightBat,0,"DoesnвЂ™t matter where IвЂ™m from or who I support. Just know that I am on the side of humanity and the earth. And, I like calling out people on their bullshit.",,http://pbs.twimg.com/profile_images/975312500215304192/wudvMykh_normal.jpg,NA,NA,NA,22265,486,323,68307,2,NA,2017-12-27 10:14:34
6995,6995,1235537767997878272,1583410133,2020-03-05 12:08:53,kristafrances,RT @AdamParkhomenko: Trump is on fox making shit up and saying the experts are wrong about the Coronavirus. We need to talk about this.,low,NA,NA,NA,NA,0,0,en,,NA,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","San Diego, California",NA,NA,305661348,FrannieBananas #votebluenomatterwho,0,"vote blue no matter who - #metoo & #blacklivesmatter... I blame the GOP, Citizens United, and the Supreme Court Chief Justice",,http://pbs.twimg.com/profile_images/855617752370995201/6Dajp9qV_normal.jpg,NA,NA,NA,480576,1068,3131,474154,8,NA,2011-05-26 15:54:47
40958,40958,1257644519203495936,1588680793,2020-05-05 12:13:13,g_bonincontro,BBC News - Coronavirus: Naples feels the cost of Italy's lockdown https://t.co/gEwxKOGzRH,low,0,NA,NA,NA,0,0,en,,NA,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",London ma prefersco Parigi вќ¤пёЏ,NA,NA,88151199,Gianni Bonincontro,0,#Italian/#african #artist in #london #musician #writer #painter #photographer #actor founder of @rtItaliaPromos. Odio la volgaritГ  soprattutto se da una donna.,https://www.facebook.com/GianniBonincontroISuoniDellanima/,http://pbs.twimg.com/profile_images/1245987935108775937/gWbXN7L1_normal.jpg,NA,NA,NA,48188,826,504,35474,50,NA,2009-11-07 09:11:13
